"resp.id","ques","alt","chid","Duration","Rent","Type","Roommates","Commute","Bathroom","Parking","Choice"
6,2,"C",92,504,"800","Townhouse","1","20","Private","No",1
6,3,"A",93,504,"1000","Apartment","2","20","Private","No",0
6,3,"B",93,504,"600","House","3","20","Private","No",1
6,3,"C",93,504,"1000","Apartment","2","45","Shared","No",0
6,4,"A",94,504,"1000","Apartment","2","5","Shared","Yes",0
6,4,"B",94,504,"1000","House","1","5","Shared","Yes",1
6,4,"C",94,504,"1000","Apartment","2","5","Shared","No",0
6,5,"A",95,504,"600","House","2","5","Shared","Yes",0
6,5,"B",95,504,"600","House","3","5","Private","Yes",0
6,5,"C",95,504,"800","Apartment","3","20","Private","Yes",1
6,6,"A",96,504,"800","House","1","20","Shared","Yes",0
6,6,"B",96,504,"1000","House","1","20","Private","No",0
6,6,"C",96,504,"600","Townhouse","1","45","Shared","No",1
6,7,"A",97,504,"600","Apartment","2","20","Private","Yes",1
6,7,"B",97,504,"800","Townhouse","2","20","Private","No",0
6,7,"C",97,504,"1000","House","1","45","Shared","Yes",0
6,8,"A",98,504,"1000","Townhouse","3","5","Private","Yes",0
6,8,"B",98,504,"1000","Townhouse","3","45","Private","No",1
6,8,"C",98,504,"800","Apartment","2","45","Shared","No",0
6,9,"A",99,504,"600","House","3","5","Shared","Yes",0
6,9,"B",99,504,"800","Townhouse","3","20","Private","Yes",0
6,9,"C",99,504,"600","Townhouse","1","45","Private","Yes",1
6,10,"A",100,504,"800","Townhouse","2","20","Private","No",0
6,10,"B",100,504,"800","Apartment","2","5","Shared","No",0
6,10,"C",100,504,"1000","Townhouse","2","45","Shared","No",1
6,11,"A",101,504,"800","Apartment","2","20","Private","Yes",0
6,11,"B",101,504,"1000","Apartment","1","5","Private","Yes",1
6,11,"C",101,504,"1000","House","1","5","Shared","Yes",0
6,12,"A",102,504,"600","House","3","45","Shared","No",0
6,12,"B",102,504,"1000","House","1","20","Shared","Yes",1
6,12,"C",102,504,"1000","Townhouse","3","20","Shared","No",0
6,13,"A",103,504,"800","Apartment","3","20","Shared","No",0
6,13,"B",103,504,"1000","Apartment","1","5","Shared","Yes",1
6,13,"C",103,504,"800","House","1","5","Shared","No",0
6,14,"A",104,504,"600","House","3","20","Shared","Yes",1
6,14,"B",104,504,"600","Apartment","3","45","Shared","Yes",0
6,14,"C",104,504,"800","Townhouse","2","5","Shared","Yes",0
6,15,"A",105,504,"600","Townhouse","1","45","Shared","No",1
6,15,"B",105,504,"800","Apartment","2","20","Shared","No",0
6,15,"C",105,504,"1000","Townhouse","3","20","Shared","Yes",0
6,16,"A",106,504,"600","Townhouse","3","20","Private","Yes",1
6,16,"B",106,504,"1000","Apartment","3","45","Shared","No",0
6,16,"C",106,504,"800","Apartment","1","20","Private","Yes",0
6,17,"A",107,504,"800","Apartment","3","45","Shared","No",1
6,17,"B",107,504,"800","House","1","5","Shared","Yes",0
6,17,"C",107,504,"600","Apartment","1","45","Private","Yes",0
6,18,"A",108,504,"1000","House","1","45","Shared","Yes",0
6,18,"B",108,504,"1000","Townhouse","1","45","Private","Yes",1
6,18,"C",108,504,"800","Apartment","1","45","Shared","Yes",0
7,1,"A",109,390,"1000","Apartment","2","45","Private","Yes",0
7,1,"B",109,390,"1000","Townhouse","2","5","Private","Yes",1
7,1,"C",109,390,"800","Townhouse","3","45","Private","No",0
7,2,"A",110,390,"1000","Apartment","2","45","Shared","No",0
7,2,"B",110,390,"600","House","1","45","Private","Yes",0
7,2,"C",110,390,"800","House","2","45","Shared","No",1
7,3,"A",111,390,"800","Apartment","1","5","Private","Yes",1
7,3,"B",111,390,"600","Apartment","1","5","Private","No",0
7,3,"C",111,390,"1000","House","3","20","Private","Yes",0
7,4,"A",112,390,"800","Apartment","1","5","Shared","No",1
7,4,"B",112,390,"800","House","3","5","Private","No",0
7,4,"C",112,390,"1000","House","1","45","Shared","Yes",0
7,5,"A",113,390,"1000","Apartment","3","45","Private","No",0
7,5,"B",113,390,"800","Townhouse","1","45","Private","Yes",1
7,5,"C",113,390,"1000","Apartment","1","20","Private","No",0
7,6,"A",114,390,"1000","House","3","45","Shared","Yes",0
7,6,"B",114,390,"800","Townhouse","1","20","Shared","Yes",1
7,6,"C",114,390,"1000","House","3","20","Private","Yes",0
7,7,"A",115,390,"600","Townhouse","3","45","Private","Yes",0
7,7,"B",115,390,"1000","Townhouse","3","5","Private","Yes",0
7,7,"C",115,390,"600","Apartment","2","5","Private","Yes",1
7,8,"A",116,390,"600","Apartment","3","20","Shared","Yes",0
7,8,"B",116,390,"800","Townhouse","3","5","Shared","Yes",0
7,8,"C",116,390,"1000","House","3","5","Private","Yes",1
7,9,"A",117,390,"600","House","3","20","Private","No",1
7,9,"B",117,390,"800","Townhouse","3","45","Private","No",0
7,9,"C",117,390,"800","Townhouse","3","20","Private","No",0
7,10,"A",118,390,"1000","House","2","5","Private","Yes",0
7,10,"B",118,390,"1000","Townhouse","2","20","Private","No",1
7,10,"C",118,390,"1000","House","3","5","Shared","No",0
7,11,"A",119,390,"800","House","3","20","Shared","No",1
7,11,"B",119,390,"1000","Apartment","1","45","Private","Yes",0
7,11,"C",119,390,"800","Apartment","2","5","Shared","No",0
7,12,"A",120,390,"600","House","3","5","Private","No",0
7,12,"B",120,390,"600","Apartment","3","20","Shared","No",1
7,12,"C",120,390,"800","Townhouse","2","5","Shared","No",0
7,13,"A",121,390,"600","Apartment","2","5","Private","No",0
7,13,"B",121,390,"1000","Townhouse","3","5","Private","Yes",0
7,13,"C",121,390,"800","Townhouse","1","5","Shared","No",1
7,14,"A",122,390,"800","Townhouse","3","20","Private","Yes",0
7,14,"B",122,390,"600","Apartment","3","5","Shared","Yes",1
7,14,"C",122,390,"600","House","3","45","Shared","No",0
7,15,"A",123,390,"800","Townhouse","1","20","Shared","No",0
7,15,"B",123,390,"800","Apartment","2","5","Shared","Yes",0
7,15,"C",123,390,"1000","House","3","20","Private","Yes",1
7,16,"A",124,390,"1000","Apartment","3","20","Private","Yes",0
7,16,"B",124,390,"800","House","3","20","Private","Yes",1
7,16,"C",124,390,"600","Apartment","3","20","Private","Yes",0
7,17,"A",125,390,"1000","Townhouse","1","45","Private","No",1
7,17,"B",125,390,"1000","Apartment","2","45","Shared","Yes",0
